Gemeinde;Straﬂenschl¸ssel;Straﬂenname;Hausnummer;BP Position (ETRS89_UTM32 (mm));BP Kennzeichen (ETRS89_UTM32 (mm))
Stadt Flensburg;00494;Kauslundhof;;531190823.000,6072857840.000 ;531188780.000,6072860045.000 
Stadt Flensburg;00494;Kauslundhof;;531183789.000,6072882678.000 ;531182450.000,6072878391.000 
Stadt Flensburg;00698;Rote L¸cke;;529874293.000,6073254500.000 ;529872337.000,6073256843.000 
Stadt Flensburg;00698;Rote L¸cke;;529898396.000,6073249204.000 ;529899973.000,6073249727.000 
Stadt Flensburg;00698;Rote L¸cke;7;529922495.000,6073237206.000 ;529923388.000,6073237645.000 
Stadt Flensburg;00698;Rote L¸cke;;529921734.000,6073214801.000 ;529923553.000,6073213153.000 
Stadt Flensburg;00698;Rote L¸cke;9;529921467.000,6073190281.000 ;529922973.000,6073191060.000 
Stadt Flensburg;00698;Rote L¸cke;11;529965636.000,6073176593.000 ;529967405.000,6073178400.000 
Stadt Flensburg;00565;S¸nderup;;529855491.000,6069668482.000 ;529850030.000,6069665349.000 
Stadt Flensburg;00565;S¸nderup;;529849115.000,6069693882.000 ;529843755.000,6069691070.000 
Stadt Flensburg;00565;S¸nderup;;529843265.000,6069718268.000 ;529838172.000,6069715554.000 
Stadt Flensburg;00565;S¸nderup;;529849609.000,6069729058.000 ;529847101.000,6069730841.000 
Stadt Flensburg;00565;S¸nderup;;529874284.000,6069735268.000 ;529870503.000,6069731481.000 
Stadt Flensburg;00565;S¸nderup;;529899197.000,6069740976.000 ;529897040.000,6069738215.000 
Stadt Flensburg;00565;S¸nderup;;529859519.000,6069742752.000 ;529853201.000,6069740466.000 
Stadt Flensburg;00565;S¸nderup;;529883240.000,6069749323.000 ;529883064.000,6069746273.000 
Stadt Flensburg;00538;S¸nderuper Weg;;529904630.000,6069762648.000 ;529909557.000,6069766468.000 
Stadt Flensburg;00538;S¸nderuper Weg;;529894737.000,6069775331.000 ;529894908.000,6069786712.000 
Stadt Flensburg;00538;S¸nderuper Weg;;529876435.000,6069798631.000 ;529880257.000,6069806955.000 
Stadt Flensburg;00538;S¸nderuper Weg;;529861861.000,6069818083.000 ;529865256.000,6069826945.000 
Stadt Flensburg;00538;S¸nderuper Weg;;529845868.000,6069838224.000 ;529849906.000,6069846662.000 
Stadt Flensburg;00224;Groﬂe Straﬂe;4;527915520.000,6071137051.000 ;527920260.000,6071136880.000 
Stadt Flensburg;00581;Strandweg;;527905183.000,6073128558.000 ;527893973.000,6073129901.000 
Stadt Flensburg;00740;Heidebogen;;524037086.000,6068239554.000 ;524038824.000,6068241273.000 
Stadt Flensburg;00740;Heidebogen;51;524020763.000,6068255695.000 ;524022506.000,6068257420.000 
Stadt Flensburg;00740;Heidebogen;51;523996839.000,6068279063.000 ;523998754.000,6068280964.000 
Stadt Flensburg;00740;Heidebogen;51;523980238.000,6068295277.000 ;523982737.000,6068297776.000 
Stadt Flensburg;00740;Heidebogen;26;523992922.000,6068309258.000 ;523995590.000,6068311594.000 
Stadt Flensburg;00740;Heidebogen;32;524020195.000,6068337437.000 ;524023006.000,6068339633.000 
Stadt Flensburg;00740;Heidebogen;34;524038168.000,6068356013.000 ;524041160.000,6068358034.000 
Stadt Flensburg;00740;Heidebogen;34;524057795.000,6068376305.000 ;524060523.000,6068378583.000 
Stadt Flensburg;00740;Heidebogen;40;524074086.000,6068393126.000 ;524077040.000,6068395184.000 
Stadt Flensburg;00740;Heidebogen;44;524093238.000,6068412908.000 ;524095936.000,6068415214.000 
Stadt Flensburg;00740;Heidebogen;46;524110818.000,6068431066.000 ;524113440.000,6068433447.000 
Stadt Flensburg;00740;Heidebogen;46;524127609.000,6068448409.000 ;524130360.000,6068450666.000 
Stadt Flensburg;00740;Heidebogen;46;524144571.000,6068440230.000 ;524147141.000,6068442802.000 
Stadt Flensburg;00740;Heidebogen;50;524161587.000,6068423646.000 ;524163806.000,6068425859.000 
Stadt Flensburg;00740;Heidebogen;;524178789.000,6068406882.000 ;524181180.000,6068409270.000 
Stadt Flensburg;00740;Heidebogen;1;524198592.000,6068385549.000 ;524201997.000,6068388983.000 
Stadt Flensburg;00740;Heidebogen;;524214807.000,6068369815.000 ;524217926.000,6068372955.000 
Stadt Flensburg;00740;Heidebogen;;524233514.000,6068351663.000 ;524236372.000,6068353814.000 
Stadt Flensburg;00740;Heidebogen;3;524178993.000,6068373797.000 ;524181596.000,6068376195.000 
Stadt Flensburg;00740;Heidebogen;5;524160980.000,6068355169.000 ;524163596.000,6068357554.000 
Stadt Flensburg;00740;Heidebogen;9;524141403.000,6068334923.000 ;524143709.000,6068337608.000 
Stadt Flensburg;00740;Heidebogen;9;524122389.000,6068315260.000 ;524124947.000,6068317701.000 
Stadt Flensburg;00740;Heidebogen;15;524101093.000,6068293235.000 ;524104190.000,6068295155.000 
Stadt Flensburg;00740;Heidebogen;19;524081301.000,6068272768.000 ;524083891.000,6068275179.000 
Stadt Flensburg;00740;Heidebogen;23;524059790.000,6068250520.000 ;524062288.000,6068253020.000 
Stadt Flensburg;00740;Heidebogen;29;524021843.000,6068212493.000 ;524024341.000,6068214992.000 
Stadt Flensburg;00740;Heidebogen;;524005873.000,6068185663.000 ;524008841.000,6068188647.000 
Stadt Flensburg;00740;Heidebogen;;523993395.000,6068197724.000 ;523996363.000,6068200708.000 
Stadt Flensburg;00740;Heidebogen;;523927041.000,6068261860.000 ;523929540.000,6068264359.000 
Stadt Flensburg;00740;Heidebogen;;523939520.000,6068249799.000 ;523942019.000,6068252298.000 
Stadt Flensburg;00740;Heidebogen;77;523954087.000,6068278026.000 ;523956586.000,6068280525.000 
Stadt Flensburg;00746;Ina-Carstensen-Straﬂe;;531466739.000,6072874679.000 ;531469492.000,6072876291.000 
Stadt Flensburg;00746;Ina-Carstensen-Straﬂe;;531500956.000,6072833948.000 ;531499681.000,6072840223.000 
Stadt Flensburg;00746;Ina-Carstensen-Straﬂe;15;531519523.000,6072811647.000 ;531515595.000,6072821211.000 
Stadt Flensburg;00749;Anna-Hansen-Straﬂe;3;531564360.000,6072660610.000 ;531566351.000,6072661980.000 
Stadt Flensburg;00749;Anna-Hansen-Straﬂe;7;531550281.000,6072642121.000 ;531552780.000,6072644620.000 
Stadt Flensburg;00749;Anna-Hansen-Straﬂe;11;531517801.000,6072613649.000 ;531534836.000,6072629602.000 
Stadt Flensburg;00749;Anna-Hansen-Straﬂe;;531574407.000,6072555227.000 ;531579846.000,6072559297.000 
Stadt Flensburg;00317;Kauslunder Straﬂe;;531454366.000,6072913776.000 ;531456865.000,6072916275.000 
Stadt Flensburg;00317;Kauslunder Straﬂe;;531468611.000,6072893011.000 ;531471110.000,6072895509.000 
Stadt Flensburg;00317;Kauslunder Straﬂe;;531435382.000,6072900666.000 ;531437881.000,6072903164.000 
Stadt Flensburg;00317;Kauslunder Straﬂe;;531445868.000,6072881636.000 ;531448367.000,6072884135.000 
Stadt Flensburg;00749;Anna-Hansen-Straﬂe;;531598716.000,6072564694.000 ;531601398.000,6072566774.000 
Stadt Flensburg;00001;Adelbyer Kirchenweg;17;531552261.000,6072541431.000 ;531555444.000,6072544247.000 
Stadt Flensburg;00749;Anna-Hansen-Straﬂe;15;531527277.000,6072539287.000 ;531528842.000,6072542912.000 
Stadt Flensburg;00749;Anna-Hansen-Straﬂe;28;531518559.000,6072562775.000 ;531520790.000,6072566634.000 
Stadt Flensburg;00749;Anna-Hansen-Straﬂe;13;531516226.000,6072587212.000 ;531518422.000,6072590350.000 
Stadt Flensburg;00749;Anna-Hansen-Straﬂe;9;531533199.000,6072627305.000 ;531534734.000,6072629321.000 
Stadt Flensburg;00749;Anna-Hansen-Straﬂe;;531571737.000,6072682664.000 ;531574583.000,6072686239.000 
Stadt Flensburg;00746;Ina-Carstensen-Straﬂe;24;531579401.000,6072704752.000 ;531581826.000,6072708160.000 
Stadt Flensburg;00746;Ina-Carstensen-Straﬂe;20;531566190.000,6072725310.000 ;531568218.000,6072728608.000 
Stadt Flensburg;00746;Ina-Carstensen-Straﬂe;;531533502.000,6072764278.000 ;531535686.000,6072767471.000 
Stadt Flensburg;00746;Ina-Carstensen-Straﬂe;;531523613.000,6072835872.000 ;531526540.000,6072838628.000 
Stadt Flensburg;00746;Ina-Carstensen-Straﬂe;;531505949.000,6072854839.000 ;531509055.000,6072857890.000 
Stadt Flensburg;00746;Ina-Carstensen-Straﬂe;;531482993.000,6072855302.000 ;531484605.000,6072858230.000 
Stadt Flensburg;00746;Ina-Carstensen-Straﬂe;5;531481555.000,6072882223.000 ;531483758.000,6072884149.000 
Stadt Flensburg;00434;Neuer Weg;;531180078.000,6071947947.000 ;531182577.000,6071950446.000 
Stadt Flensburg;00741;Auf der Dorfkoppel;;529874148.000,6069948528.000 ;529875407.000,6069947351.000 
Stadt Flensburg;00741;Auf der Dorfkoppel;;529898164.000,6069960709.000 ;529898192.000,6069958153.000 
Stadt Flensburg;00741;Auf der Dorfkoppel;1;529889268.000,6069892213.000 ;529890778.000,6069890755.000 
Stadt Flensburg;00741;Auf der Dorfkoppel;5;529912432.000,6069899569.000 ;529912110.000,6069901418.000 
Stadt Flensburg;00741;Auf der Dorfkoppel;9;529963109.000,6069891282.000 ;529961820.000,6069893420.000 
Stadt Flensburg;00741;Auf der Dorfkoppel;7;529935822.000,6069899932.000 ;529935154.000,6069901877.000 
Stadt Flensburg;00741;Auf der Dorfkoppel;;529962751.000,6069863835.000 ;529962105.000,6069861317.000 
Stadt Flensburg;00286;J‰gerweg;;524428361.000,6068326751.000 ;524430695.000,6068328411.000 
Stadt Flensburg;00286;J‰gerweg;;524394400.000,6068337497.000 ;524396657.000,6068339175.000 
Stadt Flensburg;00286;J‰gerweg;;524353757.000,6068348804.000 ;524355915.000,6068350044.000 
Stadt Flensburg;00286;J‰gerweg;;524335849.000,6068363558.000 ;524337388.000,6068362594.000 
Stadt Flensburg;00286;J‰gerweg;;524379075.000,6068351548.000 ;524380860.000,6068351491.000 
Stadt Flensburg;00286;J‰gerweg;;524415393.000,6068340877.000 ;524417065.000,6068340758.000 
Stadt Flensburg;00753;Ebenezer-Howard-Allee;;524614501.000,6068038130.000 ;524617000.000,6068040629.000 
Stadt Flensburg;00753;Ebenezer-Howard-Allee;;524574919.000,6068068559.000 ;524577417.000,6068071059.000 
Stadt Flensburg;00753;Ebenezer-Howard-Allee;;524539350.000,6068102748.000 ;524541849.000,6068105247.000 
Stadt Flensburg;00753;Ebenezer-Howard-Allee;;524509722.000,6068141339.000 ;524512221.000,6068143838.000 
Stadt Flensburg;00753;Ebenezer-Howard-Allee;;524488773.000,6068180381.000 ;524491271.000,6068182881.000 
Stadt Flensburg;00753;Ebenezer-Howard-Allee;;524476040.000,6068216157.000 ;524478539.000,6068218656.000 
Stadt Flensburg;00753;Ebenezer-Howard-Allee;;524461703.000,6068259361.000 ;524464202.000,6068261860.000 
Stadt Flensburg;00753;Ebenezer-Howard-Allee;;524446817.000,6068305167.000 ;524449315.000,6068307666.000 
Stadt Flensburg;00753;Ebenezer-Howard-Allee;;524446879.000,6068282106.000 ;524449378.000,6068284605.000 
Stadt Flensburg;00753;Ebenezer-Howard-Allee;;524461376.000,6068239130.000 ;524463875.000,6068241629.000 
Stadt Flensburg;00753;Ebenezer-Howard-Allee;;524474845.000,6068198414.000 ;524477344.000,6068200913.000 
Stadt Flensburg;00753;Ebenezer-Howard-Allee;;524492115.000,6068157552.000 ;524494837.000,6068160175.000 
Stadt Flensburg;00753;Ebenezer-Howard-Allee;;524520425.000,6068114091.000 ;524523623.000,6068117142.000 
Stadt Flensburg;00753;Ebenezer-Howard-Allee;;524551687.000,6068079758.000 ;524554719.000,6068082840.000 
Stadt Flensburg;00753;Ebenezer-Howard-Allee;;524589350.000,6068048130.000 ;524592284.000,6068051202.000 
Stadt Flensburg;00753;Ebenezer-Howard-Allee;;524630404.000,6068020095.000 ;524632481.000,6068021927.000 
Stadt Flensburg;00762;Ochsentrift;;524392988.000,6068281448.000 ;524395487.000,6068283947.000 
Stadt Flensburg;00762;Ochsentrift;;524416832.000,6068292000.000 ;524419331.000,6068294499.000 
Stadt Flensburg;00762;Ochsentrift;;524376188.000,6068261498.000 ;524378687.000,6068263997.000 
Stadt Flensburg;00761;Ochsenredder;;524400437.000,6068201160.000 ;524402936.000,6068203660.000 
Stadt Flensburg;00761;Ochsenredder;;524428259.000,6068208177.000 ;524430758.000,6068210677.000 
Stadt Flensburg;00761;Ochsenredder;;524452498.000,6068220731.000 ;524454997.000,6068223230.000 
Stadt Flensburg;00758;Ochsenfurt;;524591097.000,6068028334.000 ;524593596.000,6068030833.000 
Stadt Flensburg;00758;Ochsenfurt;;524571743.000,6068005722.000 ;524573973.000,6068008451.000 
Stadt Flensburg;00758;Ochsenfurt;;524552642.000,6067994211.000 ;524555141.000,6067996710.000 
Stadt Flensburg;00769;Kong-Arrildshoj-Park;;524547873.000,6068247313.000 ;524550372.000,6068249813.000 
Stadt Flensburg;00769;Kong-Arrildshoj-Park;;524582282.000,6068229490.000 ;524584781.000,6068231990.000 
Stadt Flensburg;00769;Kong-Arrildshoj-Park;;524531410.000,6068219829.000 ;524536164.000,6068221555.000 
Stadt Flensburg;00769;Kong-Arrildshoj-Park;;524523016.000,6068195343.000 ;524524535.000,6068198178.000 
Stadt Flensburg;00769;Kong-Arrildshoj-Park;;524518588.000,6068173459.000 ;524518428.000,6068176428.000 
Stadt Flensburg;00300;Junkerhohlweg;;527277350.000,6072196161.000 ;527284780.000,6072201985.000 
Stadt Flensburg;00300;Junkerhohlweg;;527295177.000,6072183813.000 ;527298373.000,6072185494.000 
Stadt Flensburg;00300;Junkerhohlweg;;527313851.000,6072193921.000 ;527316368.000,6072195300.000 
Stadt Flensburg;00300;Junkerhohlweg;;527271786.000,6072178697.000 ;527273693.000,6072181482.000 
Stadt Flensburg;00300;Junkerhohlweg;;527270220.000,6072162535.000 ;527273469.000,6072164155.000 
Stadt Flensburg;00300;Junkerhohlweg;;527336137.000,6072194258.000 ;527338652.000,6072195690.000 
Stadt Flensburg;00017;Am Friedensh¸gel;;525908222.000,6069822643.000 ;525911132.000,6069823572.000 
Stadt Flensburg;00017;Am Friedensh¸gel;;525873630.000,6069814281.000 ;525875825.000,6069818143.000 
Stadt Flensburg;00017;Am Friedensh¸gel;;525835292.000,6069807158.000 ;525837839.000,6069809356.000 
Stadt Flensburg;00017;Am Friedensh¸gel;;525846186.000,6069784913.000 ;525848724.000,6069786974.000 
Stadt Flensburg;00017;Am Friedensh¸gel;;525879438.000,6069792244.000 ;525881962.000,6069794622.000 
Stadt Flensburg;00017;Am Friedensh¸gel;;525893637.000,6069782522.000 ;525896396.000,6069784985.000 
Stadt Flensburg;00017;Am Friedensh¸gel;;525899418.000,6069784149.000 ;525902584.000,6069786945.000 
Stadt Flensburg;00017;Am Friedensh¸gel;;525912877.000,6069801961.000 ;525913357.000,6069803789.000 
Stadt Flensburg;00740;Heidebogen;;525220786.000,6067814540.000 ;525214627.000,6067811468.000 
Stadt Flensburg;00740;Heidebogen;;525227940.000,6067779469.000 ;525220210.000,6067780472.000 
Stadt Flensburg;00266;Hubertusweg;2;525179466.000,6067877939.000 ;525181965.000,6067880438.000 
Stadt Flensburg;00266;Hubertusweg;;525189163.000,6067832156.000 ;525191579.000,6067835047.000 
Stadt Flensburg;00264;Holzkrugweg;;525182237.000,6067812553.000 ;525175719.000,6067808295.000 
Stadt Flensburg;00264;Holzkrugweg;;525214394.000,6067822593.000 ;525210222.000,6067819324.000 
Stadt Flensburg;00009;Alter Husumer Weg;;525449562.000,6068387660.000 ;525451761.000,6068385154.000 
Stadt Flensburg;00009;Alter Husumer Weg;;525555667.000,6068492967.000 ;525557206.000,6068493318.000 
Stadt Flensburg;00009;Alter Husumer Weg;192;525528622.000,6068469308.000 ;525531121.000,6068471807.000 
Stadt Flensburg;00009;Alter Husumer Weg;;525501671.000,6068445954.000 ;525502175.000,6068447324.000 
Stadt Flensburg;00009;Alter Husumer Weg;83;525477500.000,6068420694.000 ;525474346.000,6068417594.000 
Stadt Flensburg;00456;Ochsenweg;;525483343.000,6068448012.000 ;525476306.000,6068448489.000 
Stadt Flensburg;00273;Hirschbogen;;525371880.000,6067980025.000 ;525362990.000,6067980053.000 
Stadt Flensburg;00273;Hirschbogen;;525325893.000,6067996628.000 ;525321598.000,6067993586.000 
Stadt Flensburg;00273;Hirschbogen;;525296990.000,6067988632.000 ;525296412.000,6067985543.000 
Stadt Flensburg;00273;Hirschbogen;71;525275560.000,6068001243.000 ;525268443.000,6068002483.000 
Stadt Flensburg;00456;Ochsenweg;;525399009.000,6068678484.000 ;525399849.000,6068677594.000 
Stadt Flensburg;00456;Ochsenweg;;525401878.000,6068667761.000 ;525400917.000,6068670009.000 
Stadt Flensburg;00456;Ochsenweg;58;525557679.000,6068276869.000 ;525550920.000,6068276749.000 
Stadt Flensburg;00456;Ochsenweg;;525506399.000,6068393331.000 ;525509060.000,6068396484.000 
Stadt Flensburg;00456;Ochsenweg;;525520020.000,6068362049.000 ;525522175.000,6068366129.000 
Stadt Flensburg;00456;Ochsenweg;;525532708.000,6068332909.000 ;525525597.000,6068331580.000 
Stadt Flensburg;00456;Ochsenweg;;525545036.000,6068304933.000 ;525540672.000,6068302588.000 
Stadt Flensburg;00456;Ochsenweg;72;525470285.000,6068474915.000 ;525467747.000,6068472006.000 
Stadt Flensburg;00456;Ochsenweg;74;525459313.000,6068501685.000 ;525455982.000,6068498513.000 
Stadt Flensburg;00265;Hooger Weg;;525538940.000,6068353450.000 ;525533116.000,6068354157.000 
Stadt Flensburg;00456;Ochsenweg;;525627221.000,6068058821.000 ;525621017.000,6068056512.000 
Stadt Flensburg;00456;Ochsenweg;;525647574.000,6068065695.000 ;525649134.000,6068065010.000 
Stadt Flensburg;00456;Ochsenweg;;525674241.000,6067995144.000 ;525666719.000,6067994748.000 
Stadt Flensburg;00286;J‰gerweg;;524323039.000,6068385766.000 ;524325206.000,6068384570.000 
Stadt Flensburg;00286;J‰gerweg;;524307482.000,6068411402.000 ;524309980.000,6068413902.000 
Stadt Flensburg;00286;J‰gerweg;;524291891.000,6068437020.000 ;524294390.000,6068439519.000 
Stadt Flensburg;00286;J‰gerweg;;524282155.000,6068465384.000 ;524284654.000,6068467883.000 
Stadt Flensburg;00723;Gartenstadtallee;;524401398.000,6068039969.000 ;524407976.000,6068034388.000 
Stadt Flensburg;00723;Gartenstadtallee;;524419831.000,6068042357.000 ;524422535.000,6068044506.000 
Stadt Flensburg;00723;Gartenstadtallee;;524397681.000,6068025947.000 ;524400180.000,6068028446.000 
Stadt Flensburg;00723;Gartenstadtallee;;524367932.000,6068017854.000 ;524370939.000,6068018968.000 
Stadt Flensburg;00723;Gartenstadtallee;;524346471.000,6068005793.000 ;524348970.000,6068008292.000 
Stadt Flensburg;00272;Holunderweg;;525657022.000,6067562526.000 ;525659399.000,6067564140.000 
Stadt Flensburg;00272;Holunderweg;50;525639384.000,6067587593.000 ;525641883.000,6067590092.000 
Stadt Flensburg;00025;Ahornweg;;525491042.000,6067508247.000 ;525492090.000,6067507771.000 
Stadt Flensburg;00265;Hooger Weg;;525587338.000,6068374908.000 ;525584580.000,6068377054.000 
Stadt Flensburg;00265;Hooger Weg;;525647061.000,6068402312.000 ;525641711.000,6068404095.000 
Stadt Flensburg;00267;Husumer Straﬂe;13;527853884.000,6070261459.000 ;527848681.000,6070258901.000 
Stadt Flensburg;00722;Distelfalterhof;;524452467.000,6067995535.000 ;524454966.000,6067998034.000 
Stadt Flensburg;00722;Distelfalterhof;;524436354.000,6067987348.000 ;524438853.000,6067989847.000 
Stadt Flensburg;00722;Distelfalterhof;10;524429566.000,6067971508.000 ;524432065.000,6067974007.000 
Stadt Flensburg;00722;Distelfalterhof;10;524411747.000,6067953898.000 ;524414246.000,6067956397.000 
Stadt Flensburg;00732;Pfauenaugenhof;;524329078.000,6068051797.000 ;524329742.000,6068049904.000 
Stadt Flensburg;00732;Pfauenaugenhof;;524325091.000,6068077559.000 ;524327589.000,6068080058.000 
Stadt Flensburg;00732;Pfauenaugenhof;;524352299.000,6068064692.000 ;524354798.000,6068067191.000 
Stadt Flensburg;00732;Pfauenaugenhof;;524376862.000,6068076195.000 ;524379361.000,6068078694.000 
Stadt Flensburg;00732;Pfauenaugenhof;;524369113.000,6068100726.000 ;524371612.000,6068103225.000 
Stadt Flensburg;00267;Husumer Straﬂe;;526761124.000,6068556813.000 ;526758923.000,6068559400.000 
Stadt Flensburg;00540;Sch‰ferweg;;524908877.000,6069927730.000 ;524908150.000,6069924442.000 
Stadt Flensburg;00124;An der Friedenskirche;;526084920.000,6067618034.000 ;526086859.000,6067618143.000 
Stadt Flensburg;00124;An der Friedenskirche;;526098662.000,6067643787.000 ;526100080.000,6067642474.000 
Stadt Flensburg;00124;An der Friedenskirche;;526112670.000,6067669852.000 ;526104674.000,6067671048.000 
Stadt Flensburg;00124;An der Friedenskirche;;526073826.000,6067596760.000 ;526074253.000,6067593882.000 
Stadt Flensburg;00124;An der Friedenskirche;;526058662.000,6067569044.000 ;526059963.000,6067567873.000 
Stadt Flensburg;00124;An der Friedenskirche;;526043706.000,6067541105.000 ;526044556.000,6067539048.000 
Stadt Flensburg;00124;An der Friedenskirche;;526028680.000,6067513317.000 ;526030460.000,6067513852.000 
Stadt Flensburg;00124;An der Friedenskirche;;526006056.000,6067490428.000 ;526005345.000,6067486698.000 
Stadt Flensburg;00329;Klaus-Groth-Straﬂe;15;527144763.000,6070260870.000 ;527145605.000,6070260009.000 
Stadt Flensburg;00264;Holzkrugweg;;525410694.000,6067888130.000 ;525413193.000,6067890629.000 
Stadt Flensburg;00264;Holzkrugweg;;525385818.000,6067870828.000 ;525388317.000,6067873327.000 
Stadt Flensburg;00264;Holzkrugweg;;525351959.000,6067861152.000 ;525354459.000,6067863651.000 
Stadt Flensburg;00264;Holzkrugweg;3;525316561.000,6067851196.000 ;525319061.000,6067853695.000 
Stadt Flensburg;00264;Holzkrugweg;7;525283059.000,6067841784.000 ;525285558.000,6067844283.000 
Stadt Flensburg;00264;Holzkrugweg;7;525248166.000,6067831977.000 ;525250665.000,6067834477.000 
Stadt Flensburg;00017;Am Friedensh¸gel;;526170455.000,6069912816.000 ;526165102.000,6069914686.000 
Stadt Flensburg;00682;Zur Exe;;527335296.000,6070168764.000 ;527327773.000,6070168665.000 
Stadt Flensburg;00439;Nikolaiallee;;527066112.000,6069629927.000 ;527068611.000,6069632426.000 
Stadt Flensburg;00415;Mozartstraﬂe;;530334440.000,6071699965.000 ;530335812.000,6071699833.000 
Stadt Flensburg;00051;Adelbylund;;529865004.000,6070557564.000 ;529865999.000,6070556395.000 
Stadt Flensburg;00051;Adelbylund;;529883881.000,6070572375.000 ;529884697.000,6070571388.000 
Stadt Flensburg;00051;Adelbylund;;529901313.000,6070590288.000 ;529902069.000,6070589300.000 
Stadt Flensburg;00051;Adelbylund;;529923503.000,6070601153.000 ;529917886.000,6070602390.000 
Stadt Flensburg;00701;Osttangente;;529811910.000,6070482824.000 ;529814409.000,6070485323.000 
Stadt Flensburg;00701;Osttangente;;529812267.000,6070452342.000 ;529814766.000,6070454841.000 
Stadt Flensburg;00701;Osttangente;;529811245.000,6070422445.000 ;529813744.000,6070424944.000 
Stadt Flensburg;00051;Adelbylund;;529835342.000,6070599713.000 ;529829063.000,6070600589.000 
Stadt Flensburg;00051;Adelbylund;;529864583.000,6070606614.000 ;529860288.000,6070608271.000 
Stadt Flensburg;00051;Adelbylund;;529894504.000,6070613108.000 ;529891652.000,6070614825.000 
Stadt Flensburg;00051;Adelbylund;;529923329.000,6070620942.000 ;529919636.000,6070622479.000 
Stadt Flensburg;00051;Adelbylund;;529950837.000,6070622475.000 ;529948948.000,6070624072.000 
Stadt Flensburg;00051;Adelbylund;;529941558.000,6070607252.000 ;529942341.000,6070605751.000 
Stadt Flensburg;00051;Adelbylund;;529960254.000,6070611686.000 ;529959447.000,6070609376.000 
Stadt Flensburg;00051;Adelbylund;;529808138.000,6070597241.000 ;529810336.000,6070595230.000 
Stadt Flensburg;00701;Osttangente;;529806555.000,6070627288.000 ;529796128.000,6070624678.000 
Stadt Flensburg;00701;Osttangente;;529806187.000,6070657497.000 ;529795219.000,6070655188.000 
Stadt Flensburg;00701;Osttangente;;529806266.000,6070687549.000 ;529794998.000,6070685539.000 
Stadt Flensburg;00701;Osttangente;;529808433.000,6070718473.000 ;529799990.000,6070716224.000 
Stadt Flensburg;00701;Osttangente;;529812961.000,6070748798.000 ;529814979.000,6070749914.000 
Stadt Flensburg;00051;Adelbylund;;529732863.000,6070536139.000 ;529730305.000,6070533744.000 
Stadt Flensburg;00051;Adelbylund;;529707995.000,6070533031.000 ;529706090.000,6070530473.000 
Stadt Flensburg;00051;Adelbylund;;529683023.000,6070529910.000 ;529681689.000,6070527515.000 
Stadt Flensburg;00051;Adelbylund;;529659341.000,6070525869.000 ;529661840.000,6070528368.000 
Stadt Flensburg;00051;Adelbylund;;529635726.000,6070521452.000 ;529638225.000,6070523951.000 
Stadt Flensburg;00051;Adelbylund;;529611698.000,6070520481.000 ;529614197.000,6070522980.000 
Stadt Flensburg;00051;Adelbylund;;529827027.000,6070563562.000 ;529819185.000,6070562154.000 
Stadt Flensburg;00051;Adelbylund;;529836995.000,6070577865.000 ;529830596.000,6070578741.000 
Stadt Flensburg;00051;Adelbylund;;529781688.000,6070587069.000 ;529774430.000,6070588015.000 
Stadt Flensburg;00051;Adelbylund;;529792979.000,6070578751.000 ;529792950.000,6070580597.000 
Stadt Flensburg;00051;Adelbylund;;529822531.000,6070584144.000 ;529817696.000,6070585741.000 
Stadt Flensburg;00051;Adelbylund;;529806776.000,6070566436.000 ;529808854.000,6070566290.000 
Stadt Flensburg;00051;Adelbylund;;529795070.000,6070558318.000 ;529797493.000,6070558144.000 
Stadt Flensburg;00051;Adelbylund;;529786023.000,6070562993.000 ;529782840.000,6070565312.000 
Stadt Flensburg;00286;J‰gerweg;14;524829545.000,6068198115.000 ;524832324.000,6068201028.000 
Stadt Flensburg;00286;J‰gerweg;;524790611.000,6068153845.000 ;524793110.000,6068156345.000 
Stadt Flensburg;00286;J‰gerweg;14;524839361.000,6068191221.000 ;524841860.000,6068193720.000 
Stadt Flensburg;00662;Westerallee;;525379580.000,6069894031.000 ;525371642.000,6069891367.000 
Stadt Flensburg;00557;Schwalbenstraﬂe;11;526686607.000,6072429551.000 ;526689106.000,6072432050.000 
Stadt Flensburg;00410;Mˆwenstraﬂe;;526697889.000,6072433561.000 ;526700388.000,6072436060.000 
Stadt Flensburg;00557;Schwalbenstraﬂe;16;526658196.000,6072436090.000 ;526660695.000,6072438589.000 
Stadt Flensburg;00557;Schwalbenstraﬂe;18;526635607.000,6072434988.000 ;526638106.000,6072437487.000 
Stadt Flensburg;00557;Schwalbenstraﬂe;23;526599595.000,6072424909.000 ;526602094.000,6072427408.000 
Stadt Flensburg;00557;Schwalbenstraﬂe;21;526613809.000,6072425610.000 ;526616308.000,6072428109.000 
Stadt Flensburg;00557;Schwalbenstraﬂe;24;526568961.000,6072431153.000 ;526571460.000,6072433653.000 
Stadt Flensburg;00557;Schwalbenstraﬂe;26;526542853.000,6072430122.000 ;526545352.000,6072432621.000 
Stadt Flensburg;00557;Schwalbenstraﬂe;28;526522381.000,6072430474.000 ;526525080.000,6072432102.000 
Stadt Flensburg;00557;Schwalbenstraﬂe;31;526503597.000,6072410271.000 ;526506096.000,6072412770.000 
Stadt Flensburg;00557;Schwalbenstraﬂe;;526519806.000,6072418773.000 ;526522305.000,6072421272.000 
Stadt Flensburg;00557;Schwalbenstraﬂe;34;526463251.000,6072428386.000 ;526465750.000,6072430885.000 
